"","Connectivity","P_value"
"pentoxifylline",0,1
"meclofenamic acid",0,1
"cimetidine",0,1
"troleandomycin",0,1
"sulpiride",0,1
"amiloride",0,1
"doxylamine",0,1
"pyrimethamine",0,1
"ticlopidine",0,1
"oxybuprocaine",0,1
"miconazole",0,1
"prednisone",0,1
"idoxuridine",0,1
"oxetacaine",0,1
"isoxsuprine",0,1
"hydrochlorothiazide",0,1
"phenazone",0,1
"diflunisal",0,1
"amylocaine",0,1
"pheniramine",0,1
"acebutolol",0,1
"diphemanil metilsulfate",0,1
"sulfaguanidine",0,1
"minoxidil",0,1
"4-hydroxyphenazone",0,1
"niclosamide",0,1
"lidocaine",0,1
"tolazoline",0,1
"trimethobenzamide",0,1
"erythromycin",0,1
"metolazone",0,1
"oleandomycin",0,1
"edrophonium chloride",0,1
"azacyclonol",0,1
"dehydrocholic acid",0,1
"hydroxyzine",0,1
"chlorhexidine",0,1
"midecamycin",0,1
"moroxydine",0,1
"famotidine",0,1
"ampicillin",0,1
"josamycin",0,1
"lynestrenol",0,1
"danazol",0,1
"chlortetracycline",0,1
"aciclovir",0,1
"guanabenz",0,1
"glibenclamide",0,1
"albendazole",0,1
"oxybutynin",0,1
"oxytetracycline",0,1
"guanethidine",0,1
"clonidine",0,1
"vinpocetine",0,1
"spiperone",0,1
"fipexide",0,1
"bupropion",0,1
"clomipramine",0,1
"mepyramine",0,1
"fendiline",0,1
"mebeverine",0,1
"streptomycin",0,1
"chlortalidone",0,1
"ketotifen",0,1
"terbutaline",0,1
"practolol",0,1
"methapyrilene",0,1
"dobutamine",0,1
"debrisoquine",0,1
"betaxolol",0,1
"zidovudine",0,1
"desipramine",0,1
"enoxacin",0,1
"nicardipine",0,1
"hemicholinium",0,1
"phenylpropanolamine",0,1
"clorgiline",0,1
"clopamide",0,1
"ascorbic acid",0,1
"clenbuterol",0,1
"hycanthone",0,1
"brinzolamide",0,1
"metitepine",0,1
"amikacin",0,1
"methyldopa",0,1
"chlormezanone",0,1
"adenosine phosphate",0,1
"clofazimine",0,1
"8-azaguanine",0,1
"meticrane",0,1
"sulfaphenazole",0,1
"metrifonate",0,1
"morantel",0,1
"todralazine",0,1
"allantoin",0,1
"benzonatate",0,1
"dexpanthenol",0,1
"epirizole",0,1
"imipramine",0,1
"acetazolamide",0,1
"hydroflumethiazide",0,1
"diprophylline",0,1
"betazole",0,1
"triflupromazine",0,1
"sulfacetamide",0,1
"isoxicam",0,1
"mefenamic acid",0,1
"atracurium besilate",0,1
"heptaminol",0,1
"thiamphenicol",0,1
"dapsone",0,1
"naproxen",0,1
"acetohexamide",0,1
"diphenhydramine",0,1
"adiphenine",0,1
"piracetam",0,1
"dirithromycin",0,1
"dosulepin",0,1
"artemisinin",0,1
"triflusal",0,1
"phenindione",0,1
"chloroquine",0,1
"imipenem",0,1
"mesoridazine",0,1
"Trolox C",0,1
"clorsulon",0,1
"tetracaine",0,1
"laudanosine",0,1
"lobelanidine",0,1
"dipivefrine",0,1
"noscapine",0,1
"tomatidine",0,1
"tetrahydroalstonine",0,1
"harmine",0,1
"pyridoxine",0,1
"dacarbazine",0,1
"cytisine",0,1
"riboflavin",0,1
"atropine",0,1
"lobeline",0,1
"1,4-chrysenequinone",0,1
"pseudopelletierine",0,1
"hydroquinine",0,1
"physostigmine",0,1
"cinchonidine",0,1
"demecarium bromide",0,1
"racecadotril",0,1
"epivincamine",0,1
"aconitine",0,1
"(+)-chelidonine",0,1
"vinburnine",0,1
"chloramphenicol",0,1
"isoflupredone",0,1
"ursolic acid",0,1
"gentamicin",0,1
"retrorsine",0,1
"galantamine",0,1
"cinchonine",0,1
"sparteine",0,1
"conessine",0,1
"palmatine",0,1
"bicuculline",0,1
"seneciphylline",0,1
"diflorasone",0,1
"gramine",0,1
"trimethylcolchicinic acid",0,1
"yohimbic acid",0,1
"boldine",0,1
"harman",0,1
"quinisocaine",0,1
"solanine",0,1
"sulmazole",0,1
"glimepiride",0,1
"dydrogesterone",0,1
"trihexyphenidyl",0,1
"sulfabenzamide",0,1
"Prestwick-642",0,1
"picrotoxinin",0,1
"Prestwick-682",0,1
"Prestwick-692",0,1
"benzocaine",0,1
"mepenzolate bromide",0,1
"solasodine",0,1
"pempidine",0,1
"metamizole sodium",0,1
"citiolone",0,1
"benfotiamine",0,1
"heliotrine",0,1
"isosorbide",0,1
"fludroxycortide",0,1
"Prestwick-675",0,1
"acacetin",0,1
"helveticoside",0,1
"lanatoside C",0,1
"ethotoin",0,1
"myosmine",0,1
"etiocholanolone",0,1
"diphenylpyraline",0,1
"finasteride",0,1
"betonicine",0,1
"tiapride",0,1
"griseofulvin",0,1
"riluzole",0,1
"sulfamethoxazole",0,1
"nalidixic acid",0,1
"metaraminol",0,1
"kawain",0,1
"clemizole",0,1
"ofloxacin",0,1
"nitrofurantoin",0,1
"trimethoprim",0,1
"tropicamide",0,1
"prilocaine",0,1
"ketoprofen",0,1
"nefopam",0,1
"mexiletine",0,1
"ethisterone",0,1
"vincamine",0,1
"dantrolene",0,1
"proglumide",0,1
"lisinopril",0,1
"flavoxate",0,1
"difenidol",0,1
"triprolidine",0,1
"fenoterol",0,1
"trazodone",0,1
"lincomycin",0,1
"flunarizine",0,1
"norethisterone",0,1
"cortisone",0,1
"glafenine",0,1
"telenzepine",0,1
"dyclonine",0,1
"diethylcarbamazine",0,1
"enalapril",0,1
"dropropizine",0,1
"dimenhydrinate",0,1
"fenofibrate",0,1
"chenodeoxycholic acid",0,1
"pergolide",0,1
"bupivacaine",0,1
"pinacidil",0,1
"isotretinoin",0,1
"bumetanide",0,1
"digoxin",0,1
"naringin",0,1
"butoconazole",0,1
"velnacrine",0,1
"melatonin",0,1
"neostigmine bromide",0,1
"bisacodyl",0,1
"carbimazole",0,1
"pilocarpine",0,1
"menadione",0,1
"niridazole",0,1
"amphotericin B",0,1
"ergocalciferol",0,1
"epiandrosterone",0,1
"ceforanide",0,1
"puromycin",0,1
"serotonin",0,1
"cefotiam",0,1
"nitrofural",0,1
"biperiden",0,1
"salsolidin",0,1
"selegiline",0,1
"6-azathymine",0,1
"omeprazole",0,1
"cetirizine",0,1
"L-methionine sulfoximine",0,1
"benperidol",0,1
"propylthiouracil",0,1
"pyrazinamide",0,1
"tiabendazole",0,1
"atovaquone",0,1
"tobramycin",0,1
"tolazamide",0,1
"cefaclor",0,1
"orciprenaline",0,1
"trimethadione",0,1
"rifampicin",0,1
"methoxamine",0,1
"tetramisole",0,1
"colistin",0,1
"tiaprofenic acid",0,1
"sisomicin",0,1
"lovastatin",0,1
"R-atenolol",0,1
"pregnenolone",0,1
"vancomycin",0,1
"nystatin",0,1
"tenoxicam",0,1
"suxibuzone",0,1
"estropipate",0,1
"tetryzoline",0,1
"fluorometholone",0,1
"etanidazole",0,1
"anabasine",0,1
"delsoline",0,1
"Prestwick-689",0,1
"hexestrol",0,1
"cefalotin",0,1
"abamectin",0,1
"tetrandrine",0,1
"fluorocurarine",0,1
"strophanthidin",0,1
"altizide",0,1
"sulfaquinoxaline",0,1
"nadide",0,1
"terazosin",0,1
"butamben",0,1
"alclometasone",0,1
"ramifenazone",0,1
"streptozocin",0,1
"sulfamethizole",0,1
"leflunomide",0,1
"podophyllotoxin",0,1
"propidium iodide",0,1
"medrysone",0,1
"meclofenoxate",0,1
"levonorgestrel",0,1
"sulfamethoxypyridazine",0,1
"flumetasone",0,1
"flunixin",0,1
"fenoprofen",0,1
"flecainide",0,1
"sulfadimidine",0,1
"dicoumarol",0,1
"cefazolin",0,1
"glycopyrronium bromide",0,1
"diethylstilbestrol",0,1
"thiamazole",0,1
"atractyloside",0,1
"guanadrel",0,1
"merbromin",0,1
"sulfadimethoxine",0,1
"calcium folinate",0,1
"mimosine",0,1
"proadifen",0,1
"hexylcaine",0,1
"sulfanilamide",0,1
"isoetarine",0,1
"zomepirac",0,1
"pridinol",0,1
"ebselen",0,1
"isopropamide iodide",0,1
"cinoxacin",0,1
"carbinoxamine",0,1
"bergenin",0,1
"azlocillin",0,1
"butacaine",0,1
"cefapirin",0,1
"iopamidol",0,1
"methazolamide",0,1
"clidinium bromide",0,1
"cefoxitin",0,1
"iopromide",0,1
"pyrithyldione",0,1
"DL-thiorphan",0,1
"corynanthine",0,1
"salsolinol",0,1
"Prestwick-691",0,1
"harmalol",0,1
"metacycline",0,1
"pronetalol",0,1
"Prestwick-984",0,1
"cyclopenthiazide",0,1
"meptazinol",0,1
"pancuronium bromide",0,1
"gibberellic acid",0,1
"sitosterol",0,1
"etamsylate",0,1
"letrozole",0,1
"molindone",0,1
"sotalol",0,1
"proscillaridin",0,1
"cefalonium",0,1
"epitiostanol",0,1
"Prestwick-967",0,1
"sanguinarine",0,1
"fluticasone",0,1
"fursultiamine",0,1
"decamethonium bromide",0,1
"memantine",0,1
"gabexate",0,1
"alprostadil",0,1
"benzathine benzylpenicillin",0,1
"methyldopate",0,1
"3-acetamidocoumarin",0,1
"asiaticoside",0,1
"proguanil",0,1
"risperidone",0,1
"roxarsone",0,1
"talampicillin",0,1
"rimexolone",0,1
"torasemide",0,1
"spaglumic acid",0,1
"tridihexethyl",0,1
"iopanoic acid",0,1
"lansoprazole",0,1
"penbutolol",0,1
"pivmecillinam",0,1
"naftifine",0,1
"Prestwick-1083",0,1
"Prestwick-1103",0,1
"levopropoxyphene",0,1
"nafcillin",0,1
"liothyronine",0,1
"theophylline",0,1
"spectinomycin",0,1
"cefsulodin",0,1
"roxithromycin",0,1
"theobromine",0,1
"piromidic acid",0,1
"fosfosal",0,1
"trichlormethiazide",0,1
"amiprilose",0,1
"beclometasone",0,1
"suprofen",0,1
"oxolamine",0,1
"indoprofen",0,1
"mestranol",0,1
"arcaine",0,1
"chloropyramine",0,1
"(+/-)-catechin",0,1
"propantheline bromide",0,1
"carbenoxolone",0,1
"levobunolol",0,1
"Prestwick-857",0,1
"paromomycin",0,1
"scopolamine",0,1
"furazolidone",0,1
"nadolol",0,1
"iocetamic acid",0,1
"doxazosin",0,1
"paracetamol",0,1
"ioversol",0,1
"diclofenamide",0,1
"rolitetracycline",0,1
"fluvastatin",0,1
"phthalylsulfathiazole",0,1
"capsaicin",0,1
"carbachol",0,1
"nicotinic acid",0,1
"3-acetylcoumarin",0,1
"(+)-isoprenaline",0,1
"propofol",0,1
"pentetic acid",0,1
"crotamiton",0,1
"esculin",0,1
"thioperamide",0,1
"eticlopride",0,1
"digoxigenin",0,1
"felbinac",0,1
"diloxanide",0,1
"xamoterol",0,1
"primidone",0,1
"pralidoxime",0,1
"(-)-atenolol",0,1
"meglumine",0,1
"butyl hydroxybenzoate",0,1
"estrone",0,1
"rolipram",0,1
"flucytosine",0,1
"cantharidin",0,1
"aminohippuric acid",0,1
"lorglumide",0,1
"terguride",0,1
"florfenicol",0,1
"N-acetyl-L-leucine",0,1
"idazoxan",0,1
"bephenium hydroxynaphthoate",0,1
"altretamine",0,1
"oxybenzone",0,1
"dexibuprofen",0,1
"flurbiprofen",0,1
"prasterone",0,1
"desoxycortone",0,1
"dioxybenzone",0,1
"nimodipine",0,1
"nilutamide",0,1
"ursodeoxycholic acid",0,1
"chrysin",0,1
"adrenosterone",0,1
"octopamine",0,1
"nisoxetine",0,1
"aminocaproic acid",0,1
"denatonium benzoate",0,1
"remoxipride",0,1
"scopoletin",0,1
"rilmenidine",0,1
"pizotifen",0,1
"alfaxalone",0,1
"tiletamine",0,1
"azapropazone",0,1
"deptropine",0,1
"clofilium tosylate",0,1
"quinidine",0,1
"methoxsalen",0,1
"azacitidine",0,1
"fluocinonide",0,1
"methacholine chloride",0,1
"cromoglicic acid",0,1
"ifosfamide",0,1
"imidurea",0,1
"Prestwick-1082",0,1
"prednicarbate",0,1
"meprylcaine",0,1
"cyproterone",0,1
"sulfadoxine",0,1
"natamycin",0,1
"saquinavir",0,1
"piperidolate",0,1
"milrinone",0,1
"dexpropranolol",0,1
"ronidazole",0,1
"repaglinide",0,1
"methanthelinium bromide",0,1
"ciprofibrate",0,1
"cycloserine",0,1
"estriol",0,1
"meropenem",0,1
"tropine",0,1
"chloropyrazine",0,1
"(-)-isoprenaline",0,1
"ramipril",0,1
"azaperone",0,1
"ondansetron",0,1
"oxedrine",0,1
"mephenytoin",0,1
"propoxycaine",0,1
"PNU-0230031",0,1
"0179445-0000",0,1
"PHA-00851261E",0,1
"chlorambucil",0,1
"levcycloserine",0,1
"santonin",0,1
"Prestwick-1080",0,1
"parbendazole",0,1
"2,6-dimethylpiperidine",0,1
"PHA-00745360",0,1
"alcuronium chloride",0,1
"timolol",0,1
"nomegestrol",0,1
"valinomycin",0,1
"rotenone",0,1
"PF-00562151-00",0,1
"pioglitazone",0,1
"PF-00539745-00",0,1
"valdecoxib",0,1
"PF-00539758-00",0,1
"orlistat",0,1
"5707885",0,1
"C-75",0,1
"5155877",0,1
"dinoprostone",0,1
"5194442",0,1
"AG-028671",0,1
"6-bromoindirubin-3'-oxime",0,1
"Gly-His-Lys",0,1
"STOCK1N-35696",0,1
"STOCK1N-28457",0,1
"H-89",0,1
"SB-202190",0,1
"NS-398",0,1
"SB-203580",0,1
"AH-6809",0,1
"alsterpaullone",0,1
"SC-19220",0,1
"0198306-0000",0,1
"AR-A014418",0,1
"semustine",0,1
"CP-944629",0,1
"irinotecan",0,1
"BCB000039",0,1
"11-deoxy-16,16-dimethylprostaglandin E2",0,1
